rgi_id,glac_name,termlat,termlon,cenlat,cenlon,slope_deg,area_km2,zmin_m,zmax_m
RGI2000-v7.0-G-15-02903,,30.05703563472049,81.92809736304991,30.0538495,81.92456143188286,28.926601,0.251145021692096,4691.988,5080.984
RGI2000-v7.0-G-15-02904,,30.038734746208938,81.94617093769331,30.0382035,81.94307169522403,31.053638,0.072416461890268,4596.5225,4861.4526
RGI2000-v7.0-G-15-02905,,30.039052958002287,81.95036505398386,30.034466000000002,81.95095637040004,38.17098,0.154164996937168,4400.0005,5154.6973
RGI2000-v7.0-G-15-02906,,30.04187207550622,81.95207970426647,30.0334475,81.95442517340013,30.653337,0.451997869948811,4199.95,5414.38
RGI2000-v7.0-G-15-02907,,30.01809783337293,81.96095371094762,30.0220485,81.95696198624202,28.646128,0.35237318274464,4796.0366,5415.1084
RGI2000-v7.0-G-15-02908,,30.03590342894302,81.97065273810584,30.03132,81.96857657102638,32.34236,0.287091050427541,4300.0103,4913.777
RGI2000-v7.0-G-15-02910,,30.090053938593073,81.97542319635893,30.086011,81.98486887465236,21.045023,1.064413697615527,4843.9336,5602.7207
RGI2000-v7.0-G-15-02911,,30.095803334134448,81.98956512436037,30.093023000000002,81.99124169900989,23.638489,0.121561283315135,5024.612,5299.4233
RGI2000-v7.0-G-15-02912,,30.091574022659298,81.99883615636472,30.090831,81.99459475651365,20.123234,0.277439145272601,5066.044,5302.7583
RGI2000-v7.0-G-15-02913,,30.080675435441705,81.99635195023683,30.0802305,81.99372428221314,27.41741,0.329743695683364,4714.6787,5372.8574
RGI2000-v7.0-G-15-02914,,30.018814184397804,82.03608945135237,30.013129499999998,82.04035075117643,36.34695,0.207021080266624,4612.313,5540.8306
RGI2000-v7.0-G-15-02915,,30.02052601662987,82.04975508518767,30.016122,82.04757318353923,34.27377,0.264233789148118,4323.6685,5025.759
RGI2000-v7.0-G-15-02916,,30.019611654172476,82.05356128397719,30.015552999999997,82.05264189338874,31.513193,0.199821916226398,4432.9854,5067.396
RGI2000-v7.0-G-15-02917,,30.0067036468269,82.05637607258313,30.005269499999997,82.05346715143293,35.501278,0.108110261037357,5426.5664,5746.8926
RGI2000-v7.0-G-15-02918,,29.99402955514904,82.04362109122104,29.997815,82.04888631852792,28.784458,0.64343385507399,4670.2837,5704.4995
RGI2000-v7.0-G-15-02919,,29.998689190563873,82.04261920223188,30.002018,82.04412017358366,25.490482,0.232170938562092,4832.16,5343.787
RGI2000-v7.0-G-15-02921,,30.000343338564846,82.03439514966398,29.999853,82.03615494310722,29.337126,0.028238196790572,4968.961,5129.985
RGI2000-v7.0-G-15-02922,,29.99171030170191,82.0550882605424,29.9925415,82.06177441329012,22.163403,1.404795203152838,4865.465,5744.181
RGI2000-v7.0-G-15-02924,,29.9965982536465,82.09979197877765,29.987378,82.08444190810303,20.971697,1.792769413371141,4550.977,5535.2666
RGI2000-v7.0-G-15-02925,,29.983053201662976,82.10271272293494,29.9818285,82.09458856761113,23.805552,1.877011162129314,4678.063,5480.2046
RGI2000-v7.0-G-15-02926,,29.97000121214127,82.09756544061946,29.9722995,82.09588799159577,40.46143,0.13480549376549,4845.163,5381.944
RGI2000-v7.0-G-15-02927,,29.96186339920003,82.08392398508452,29.9676115,82.08155938958811,30.889826,0.630303064439274,4745.3564,5596.128
RGI2000-v7.0-G-15-02930,,29.970544996633915,82.05938120685015,29.9679465,82.06054747524752,21.546455,0.19723015945889,4789.799,5027.15
RGI2000-v7.0-G-15-02931,,29.96640204824046,82.0587185524772,29.964731,82.05791031561085,29.499493,0.061444782981018,4966.909,5182.423
RGI2000-v7.0-G-15-02932,,29.969317367340366,82.04664981915545,29.9641995,82.05269199240577,32.13117,0.570630932244019,4377.958,5336.051
RGI2000-v7.0-G-15-02933,,29.95733443237931,82.06284617771571,29.956014,82.05023915383839,34.87877,0.571654267865133,4463.7925,5515.427
RGI2000-v7.0-G-15-02934,,29.957862544190846,82.04795103528807,29.956807,82.04569261983795,46.451595,0.056832040186524,5399.49,5669.6313
RGI2000-v7.0-G-15-02935,,29.950203021620503,82.03940171648419,29.951847,82.04410861479593,42.20797,0.100796927171936,4687.133,5343.613
RGI2000-v7.0-G-15-02936,,29.954564926685357,82.03659695221009,29.9560135,82.03839889145948,35.41475,0.063161988646788,4780.667,5120.2773
RGI2000-v7.0-G-15-02937,,29.954285857624907,82.02474416605538,29.9552175,82.02457428661327,47.608902,0.045571223059524,5174.916,5453.2705
RGI2000-v7.0-G-15-02938,,29.95836843433106,82.01821000064713,29.9565795,82.01948816022559,47.76023,0.133867068608176,5110.7026,5572.1846
RGI2000-v7.0-G-15-02939,,29.963772991485346,82.0132921502896,29.9617565,82.01390484660018,29.879044,0.100307463561087,4499.1807,4753.293
RGI2000-v7.0-G-15-02940,,29.952094766689306,82.0078746776646,29.9524615,82.00990245400777,46.14864,0.03576362117752,5089.388,5423.602
RGI2000-v7.0-G-15-02941,,29.98257408559556,82.05821052613132,29.977438,82.0654439537167,24.190035,1.017934781097306,4640.6577,5730.61
RGI2000-v7.0-G-15-02942,,29.985556005876102,82.06181374359507,29.98173,82.07105289587852,22.099863,0.878081516798388,4857.3193,5694.4062
RGI2000-v7.0-G-15-02943,,30.024246409009343,82.06304753152536,30.015267,82.0652439110815,26.138376,0.81030367074383,4129.1636,5140.187
RGI2000-v7.0-G-15-02944,,30.01480200960146,82.09416561437283,30.012549,82.09516441506605,26.410084,0.148455336111224,4880.8774,5095.676
RGI2000-v7.0-G-15-02945,,30.01983153992918,82.09937858848316,30.0175105,82.1025810901427,23.562557,0.138790649881487,4959.123,5163.416
RGI2000-v7.0-G-15-02950,,30.050252657810994,82.09143986396921,30.0478385,82.09153702264615,21.166645,0.106995741455831,4982.117,5217.148
RGI2000-v7.0-G-15-02951,,30.04905438467781,82.08547412860409,30.048713,82.08409879704868,30.924345,0.037267852797406,5247.0273,5386.8276
RGI2000-v7.0-G-15-02952,,30.047502784764784,82.07477143607167,30.0475755,82.07776423134439,21.966507,0.229242463269752,5044.798,5288.5
RGI2000-v7.0-G-15-02954,,30.055374516582926,82.09911133157775,30.057496,82.10400159723461,24.480934,0.260186186835235,5097.0513,5457.8184
RGI2000-v7.0-G-15-02957,,30.07876076269396,82.116153885555,30.076403499999998,82.11132761727777,23.385864,0.556120462208925,5043.9067,5477.275
RGI2000-v7.0-G-15-02958,,30.082096346125947,82.11030427126494,30.081927999999998,82.10904523246373,29.836952,0.057813273402605,5237.291,5364.729
RGI2000-v7.0-G-15-02959,,30.08964028747284,82.11005196990398,30.088484,82.10632440346976,25.186874,0.151587138711761,5226.636,5436.3613
RGI2000-v7.0-G-15-02960,,30.093506530285634,82.1018202547361,30.0925995,82.10289151033592,28.944729,0.077308478048334,5169.28,5379.7075
RGI2000-v7.0-G-15-02961,,30.07956903645345,82.09791194511779,30.077699000000003,82.10227737101181,23.882921,0.345369575801963,5022.2715,5377.7954
RGI2000-v7.0-G-15-02962,,30.08189781227053,82.13208825488289,30.082227500000002,82.13354576386988,22.431871,0.079295034902324,5250.6,5360.8325
RGI2000-v7.0-G-15-02963,,30.081401065051406,82.13545592749809,30.0821105,82.13709223711143,27.575247,0.040882464545548,5398.3623,5574.3726
RGI2000-v7.0-G-15-02965,,30.065887693019224,82.14033534833024,30.077074,82.15579479879602,21.049189,2.875354558947216,4875.851,6031.794
